bigg,metacyc,class,name,mmol/gDWbiomass
arg__L,ARG,Amino_Acids,Arginine,0.151
glu__L,GLT,Amino_Acids,Glutamate,0.498
gly,GLY,Amino_Acids,Glycine,0.359
his__L,HIS,Amino_Acids,Histidine,0.092
ile__L,ILE,Amino_Acids,Isoleucine,0.185
ala__L,L-ALPHA-ALANINE,Amino_Acids,Alanine,0.353
asp__L,L-ASPARTATE,Amino_Acids,Aspartate,0.017
leu__L,LEU,Amino_Acids,Leucine,0.31
lys__L,LYS,Amino_Acids,Lysine,0.323
met__L,MET,Amino_Acids,Methionine,0.091
phe__L,PHE,Amino_Acids,Phenylalanine,0.211
pro__L,PRO,Amino_Acids,Proline,0.355
ser__L,SER,Amino_Acids,Serine,0.242
thr__L,THR,Amino_Acids,Threonine,0.219
tyr__L,TYR,Amino_Acids,Tyrosine,0.124
val__L,VAL,Amino_Acids,Valine,0.247
cys__L,CYS,Amino_Acids,Cysteine,0.033
asn__L,ASN,Amino_Acids,Asparagine,0.119
gln__L,GLN,Amino_Acids,Glutamine,0.15
trp__L,TRP,Amino_Acids,Tryptophan,0.072
cu2,,Ash,Cu,0.01
mg2,MG+2,Ash,Mg,0.07
fe2,FE+2,Ash,Fe,0.0059
cobalt2,,Ash,Co ,0.001
ca2,,Ash,Ca ,0.01
pi,Pi,Ash,P ,0.2
cl,,Ash,Cl,0.214
k,K+,Ash,K,0.176
na1,NA+,Ash,Na ,0.039
zn2,ZN+2,Ash,Zn,0.001
mobd,CPD-3,Ash,Mo,0.003158
mn2,,Ash,Mn,0.00130775
gdpmann,GDP-MANNOSE,Carbohydrates,Mannose,0.002
sucr,SUCROSE,Carbohydrates,Sucrose,0.026
glycogen,Glycogens,Carbohydrates,Glycogen,0.117
peptido_MF,CPD-17927,Cell_wall,Peptidoglycan,0.053
kdo2lipid4,KDO2-LIPID-IVA,Cell_wall,KDO(2)-lipidIV(A),0.002
coa,CO-A,Cofactors,coenzyme-A,0.00022
fad,FAD,Cofactors,FAD,0.00022
fmn,FMN,Cofactors,FMN,0.00022
inost,MYO-INOSITOL,Cofactors,Inositol30,0.0001
pydx5p,PYRIDOXAL_PHOSPHATE,Cofactors,Pyridoxal-5-phosphate,0.000223
ribflv,RIBOFLAVIN,Cofactors,Riboflavin B2,0.0001
amet,S-ADENOSYLMETHIONINE,Cofactors,S-Adenosyl-L-methionine,0.00022
sheme,SIROHEME,Cofactors,Siroheme,0.000223
thmpp,THIAMINE-PYROPHOSPHATE,Cofactors,Thiamin B1,0.0001
q8h2,UBIQUINOL-30,Cofactors,Ubiquinol-8,0.00022
btn,BIOTIN,Cofactors,Biotine B7,0.0001
mql8,REDUCED-MENAQUINONE,Cofactors,Menaquinol,0.0001
mlthf,METHYLENE-THF-GLU-N,Cofactors,,0.000223
thf,THF-GLU-N,Cofactors,,0.000223
